horizon_days,model,accuracy,sensitivity_recall,specificity,precision,f1_score,roc_auc
7,Persistence,0.949,0.743,0.985,0.897,0.812,0.992
7,Seasonal_Naive,0.949,0.657,1.0,1.0,0.793,0.993
7,Ridge,0.962,0.829,0.985,0.906,0.866,0.992
7,RandomForest,0.949,0.686,0.995,0.96,0.8,0.992
7,LightGBM,0.97,0.857,0.99,0.938,0.896,0.993
14,Persistence,0.948,0.657,1.0,1.0,0.793,0.993
14,Seasonal_Naive,0.913,0.457,0.995,0.941,0.615,0.991
14,Ridge,0.948,0.714,0.99,0.926,0.806,0.964
14,RandomForest,0.904,0.4,0.995,0.933,0.56,0.988
14,LightGBM,0.961,0.771,0.995,0.964,0.857,0.993
21,Persistence,0.91,0.457,0.995,0.941,0.615,0.991
21,Seasonal_Naive,0.897,0.343,1.0,1.0,0.511,0.99
21,Ridge,0.937,0.6,1.0,1.0,0.75,0.874
21,RandomForest,0.87,0.171,1.0,1.0,0.293,0.987
21,LightGBM,0.937,0.6,1.0,1.0,0.75,0.988
28,Persistence,0.894,0.343,1.0,1.0,0.511,0.991
28,Seasonal_Naive,0.87,0.2,1.0,1.0,0.333,0.989
28,Ridge,0.926,0.571,0.994,0.952,0.714,0.797
28,RandomForest,0.87,0.2,1.0,1.0,0.333,0.985
28,LightGBM,0.921,0.514,1.0,1.0,0.679,0.989
