horizon_days,feature,importance_split
7,daily_admitted,184
7,daily_deaths,15
7,sin_doy,127
7,cos_doy,29
7,sin2_doy,25
7,cos2_doy,34
7,roll7_admitted,72
7,roll14_admitted,69
7,roll7_deaths,56
7,momentum_7d,40
7,cfr_roll7,36
7,lag1_admitted,117
7,lag1_deaths,19
7,lag2_admitted,90
7,lag3_admitted,57
7,lag7_admitted,118
7,lag7_deaths,16
7,lag14_admitted,113
7,lag14_deaths,7
7,lag21_admitted,61
7,temp_mean_t0,21
7,temp_max_t0,26
7,temp_min_t0,25
7,precipitation_t0,34
7,humidity_t0,24
7,dtr_t0,24
7,temp_mean_lag7,22
7,humidity_lag7,23
7,dtr_lag7,47
7,temp_mean_lag14,33
7,humidity_lag14,51
7,dtr_lag14,25
7,temp_mean_lag21,31
7,humidity_lag21,37
7,dtr_lag21,92
7,temp_mean_lag28,28
7,humidity_lag28,31
7,dtr_lag28,49
7,temp_mean_lag35,33
7,humidity_lag35,46
7,dtr_lag35,87
7,temp_mean_lag42,49
7,humidity_lag42,44
7,dtr_lag42,65
7,precip_sum_7d,26
7,precip_sum_14d,27
7,precip_sum_21d,86
7,precip_sum_28d,106
7,temp_mean_roll14,49
7,breeding_suitability_idx,8
14,daily_admitted,194
14,daily_deaths,11
14,sin_doy,118
14,cos_doy,45
14,sin2_doy,33
14,cos2_doy,14
14,roll7_admitted,29
14,roll14_admitted,55
14,roll7_deaths,28
14,momentum_7d,76
14,cfr_roll7,29
14,lag1_admitted,125
14,lag1_deaths,36
14,lag2_admitted,98
14,lag3_admitted,51
14,lag7_admitted,164
14,lag7_deaths,14
14,lag14_admitted,100
14,lag14_deaths,11
14,lag21_admitted,60
14,temp_mean_t0,19
14,temp_max_t0,37
14,temp_min_t0,12
14,precipitation_t0,66
14,humidity_t0,38
14,dtr_t0,37
14,temp_mean_lag7,30
14,humidity_lag7,26
14,dtr_lag7,22
14,temp_mean_lag14,33
14,humidity_lag14,37
14,dtr_lag14,61
14,temp_mean_lag21,40
14,humidity_lag21,36
14,dtr_lag21,77
14,temp_mean_lag28,25
14,humidity_lag28,37
14,dtr_lag28,65
14,temp_mean_lag35,46
14,humidity_lag35,17
14,dtr_lag35,103
14,temp_mean_lag42,57
14,humidity_lag42,19
14,dtr_lag42,43
14,precip_sum_7d,54
14,precip_sum_14d,26
14,precip_sum_21d,88
14,precip_sum_28d,180
14,temp_mean_roll14,29
14,breeding_suitability_idx,23
21,daily_admitted,204
21,daily_deaths,18
21,sin_doy,149
21,cos_doy,43
21,sin2_doy,44
21,cos2_doy,25
21,roll7_admitted,51
21,roll14_admitted,68
21,roll7_deaths,12
21,momentum_7d,24
21,cfr_roll7,37
21,lag1_admitted,117
21,lag1_deaths,15
21,lag2_admitted,102
21,lag3_admitted,95
21,lag7_admitted,128
21,lag7_deaths,21
21,lag14_admitted,98
21,lag14_deaths,18
21,lag21_admitted,58
21,temp_mean_t0,23
21,temp_max_t0,15
21,temp_min_t0,16
21,precipitation_t0,22
21,humidity_t0,23
21,dtr_t0,25
21,temp_mean_lag7,39
21,humidity_lag7,44
21,dtr_lag7,43
21,temp_mean_lag14,36
21,humidity_lag14,37
21,dtr_lag14,64
21,temp_mean_lag21,26
21,humidity_lag21,58
21,dtr_lag21,116
21,temp_mean_lag28,41
21,humidity_lag28,35
21,dtr_lag28,91
21,temp_mean_lag35,70
21,humidity_lag35,17
21,dtr_lag35,71
21,temp_mean_lag42,38
21,humidity_lag42,33
21,dtr_lag42,50
21,precip_sum_7d,48
21,precip_sum_14d,66
21,precip_sum_21d,133
21,precip_sum_28d,138
21,temp_mean_roll14,39
21,breeding_suitability_idx,30
28,daily_admitted,180
28,daily_deaths,29
28,sin_doy,157
28,cos_doy,36
28,sin2_doy,45
28,cos2_doy,34
28,roll7_admitted,37
28,roll14_admitted,63
28,roll7_deaths,18
28,momentum_7d,42
28,cfr_roll7,28
28,lag1_admitted,78
28,lag1_deaths,20
28,lag2_admitted,107
28,lag3_admitted,89
28,lag7_admitted,121
28,lag7_deaths,6
28,lag14_admitted,77
28,lag14_deaths,9
28,lag21_admitted,84
28,temp_mean_t0,21
28,temp_max_t0,24
28,temp_min_t0,30
28,precipitation_t0,98
28,humidity_t0,14
28,dtr_t0,50
28,temp_mean_lag7,45
28,humidity_lag7,42
28,dtr_lag7,58
28,temp_mean_lag14,42
28,humidity_lag14,49
28,dtr_lag14,92
28,temp_mean_lag21,39
28,humidity_lag21,38
28,dtr_lag21,75
28,temp_mean_lag28,40
28,humidity_lag28,22
28,dtr_lag28,47
28,temp_mean_lag35,33
28,humidity_lag35,30
28,dtr_lag35,35
28,temp_mean_lag42,25
28,humidity_lag42,31
28,dtr_lag42,79
28,precip_sum_7d,49
28,precip_sum_14d,54
28,precip_sum_21d,96
28,precip_sum_28d,136
28,temp_mean_roll14,24
28,breeding_suitability_idx,27
